#Path,Name,Type,Out,Enabled,Object ID,Property ID,Index,Tuning Policy Name,Data Type,Read,Write,Device Facets,Facets,Conversion,Read Value,Write Value,Fault Cause
/Drivers/BacnetNetwork/FCU_A_1_1/points/OccupiedCoolingSP,Occupied Cooling SP,Bcp Bacnet Numeric Writable,71.0 °F {ok} @ def,TRUE,analogValue:1,Present Value,-1,BcpPolicy,REAL,Polled,OK,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|priPV=b:true,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|statusFlags=b:true|priorityArray=b:true,Default,71.00 {ok},71.00 {ok} @ def,
/Drivers/BacnetNetwork/FCU_A_1_1/points/OccupiedHeatingSP,Occupied Heating SP,Bcp Bacnet Numeric Writable,66.0 °F {ok} @ def,TRUE,analogValue:2,Present Value,-1,BcpPolicy,REAL,Polled,OK,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|priPV=b:true,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|statusFlags=b:true|priorityArray=b:true,Default,66.00 {ok},66.00 {ok} @ def,
/Drivers/BacnetNetwork/FCU_A_1_1/points/UnoccupiedCoolingSP,Unoccupied Cooling SP,Bcp Bacnet Numeric Writable,85.0 °F {ok} @ def,TRUE,analogValue:3,Present Value,-1,BcpPolicy,REAL,Polled,OK,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|priPV=b:true,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|statusFlags=b:true|priorityArray=b:true,Default,85.00 {ok},85.00 {ok} @ def,
/Drivers/BacnetNetwork/FCU_A_1_1/points/UnoccupiedHeatingSP,Unoccupied Heating SP,Bcp Bacnet Numeric Writable,65.0 °F {ok} @ def,TRUE,analogValue:4,Present Value,-1,BcpPolicy,REAL,Polled,OK,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|priPV=b:true,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|statusFlags=b:true|priorityArray=b:true,Default,65.00 {ok},65.00 {ok} @ def,
/Drivers/BacnetNetwork/FCU_A_1_1/points/Occupancy,Occupancy,Bcp Bacnet Boolean Writable,Occupied {ok} @ 10,TRUE,binaryValue:1,Present Value,-1,BcpPolicy,ENUMERATED,Polled,OK,trueText=s:Occupied|falseText=s:Unoccupied|priPV=b:true,trueText=s:Occupied|falseText=s:Unoccupied|statusFlags=b:true,Default,true {ok},true {ok} @ 10,
/Drivers/BacnetNetwork/FCU_A_1_1/points/CyclingFan,CyclingFan,Bcp Bacnet Boolean Writable,Cycle {ok} @ def,TRUE,binaryValue:2,Present Value,-1,BcpPolicy,ENUMERATED,Polled,OK,trueText=s:Cycle|falseText=s:Constant|priPV=b:true,trueText=s:Cycle|falseText=s:Constant|statusFlags=b:true|priorityArray=b:true,Default,true {ok},true {ok} @ def,
/Drivers/BacnetNetwork/FCU_A_1_1/points/SpaceTemp,Space Temp,Numeric Point,70.21 °F {unackedAlarm},TRUE,analogInput:1,Present Value,-1,BcpPolicy,REAL,Polled,Read Only,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;,Default,70.21 {ok},0.00 {ok},
/Drivers/BacnetNetwork/FCU_A_1_1/points/SupplyAirTemp,Supply Air Temp,Numeric Point,69.7 °F {ok},TRUE,analogInput:2,Present Value,-1,BcpPolicy,REAL,Polled,Read Only,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|priPV=b:false,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|statusFlags=b:true,Default,69.74 {ok},0.00 {ok},
/Drivers/BacnetNetwork/FCU_A_1_1/points/FanCmd,Fan Command,Bcp Bacnet Boolean Writable,On {ok} @ 14,TRUE,binaryOutput:1,Present Value,-1,BcpPolicy,ENUMERATED,Polled,OK,trueText=s:TRUE|falseText=s:FALSE|priPV=b:true,trueText=s:On|falseText=s:Off|statusFlags=b:true|priorityArray=b:true,Default,true {ok},false {ok} @ def,
/Drivers/BacnetNetwork/FCU_A_1_1/points/EffectiveCoolingSP,Effective Cooling SP,Bcp Bacnet Numeric Writable,71.0 °F {ok} @ 14,TRUE,analogValue:5,Present Value,-1,BcpPolicy,REAL,Polled,OK,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|priPV=b:true,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|statusFlags=b:true|priorityArray=b:true,Default,71.00 {ok},0.00 {ok} @ def,
/Drivers/BacnetNetwork/FCU_A_1_1/points/EffectiveHeatingSP,Effective Heating SP,Bcp Bacnet Numeric Writable,66.0 °F {ok} @ 14,TRUE,analogValue:6,Present Value,-1,BcpPolicy,REAL,Polled,OK,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|priPV=b:true,units=u:fahrenheit;°F;(K);*0.5555555555555556+255.37222222222223;|precision=i:1|min=d:-inf|max=d:+inf|statusFlags=b:true|priorityArray=b:true,Default,66.00 {ok},0.00 {ok} @ def,
/Drivers/BacnetNetwork/FCU_A_1_1/points/CoolStg1,Cool Stage 1,Bcp Bacnet Boolean Writable,Off {ok} @ 14,TRUE,binaryOutput:2,Present Value,-1,BcpPolicy,ENUMERATED,Polled,OK,trueText=s:On|falseText=s:Off|priPV=b:true,trueText=s:On|falseText=s:Off|statusFlags=b:true|priorityArray=b:true,Default,false {ok},false {ok} @ def,
/Drivers/BacnetNetwork/FCU_A_1_1/points/CoolStg2,Cool Stage 2,Bcp Bacnet Boolean Writable,Off {ok} @ 14,TRUE,binaryOutput:3,Present Value,-1,BcpPolicy,ENUMERATED,Polled,OK,trueText=s:On|falseText=s:Off|priPV=b:true,trueText=s:On|falseText=s:Off|statusFlags=b:true|priorityArray=b:true,Default,false {ok},false {ok} @ def,

